,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
7_2,7,826,2.5158507545349384,2.3426232506447078,2.3883617084209225,,2.616481583949507,2.6944963706558567,2.817442611208679,2.7794097691918704,2.479281901693046,2.5082837545863623,2.603239968871702,2.5899073684850165,2.267096716245073,2.214997105881869,2.526923104477328,2.446719635612071,2.446719635612071,2.746616048955599,2.746616048955599,2.746616048955599,Correct,2.429237002589823
7_3,7,826,2.3931535592406643,2.450292424084762,2.362915291829914,,3.5888100329668213,3.5020487394179862,3.632380496431646,3.820126350842823,3.87154749753835,3.825164462004156,3.649734801980523,3.511620545951192,3.64604437727498,3.404645461972122,3.4243006330673467,3.1861790415177977,3.092297996885868,3.3302745015453143,3.449188501842139,2.533939860187754,Correct,2.421722991662713
8_1,8,826,,,,4.624481994598094,5.1675253940458346,5.262451585535165,5.1386508771245385,4.731692829965998,4.753953534848136,5.147099134914008,4.2508443955413115,4.631912135059485,5.315738436357466,5.450874252338421,5.424090292670761,5.5239197011369185,5.293635043907299,5.455662411382637,5.2182336328529795,4.391635771786219,Correct,4.624481994598094
8_2,8,826,4.662795043995807,4.856669765286061,4.755301755288371,,4.030699712371493,4.206455651144412,4.286923220565882,3.8642730750106633,3.8476238493346675,3.7177355176854294,3.8893202113034087,3.9554787891170395,3.976799672539912,4.228186541249802,4.284892152804253,4.108628366790243,4.23119119265274,4.514087563575224,3.972118322808584,4.211290586525672,Correct,4.759732404640934
8_3,8,826,3.6818156982082453,3.5014152758728643,3.364952215954632,,3.5275728291671853,3.7354477843262437,3.2648502193226214,3.64988734739462,3.4351739075046153,3.386074200310964,3.769242946884219,3.631082895271952,3.5188026059307043,3.021560256889749,3.8467856500598274,4.13769107533174,3.914153959777582,3.4319293407159797,3.8638469068071637,4.022109343023323,Correct,3.5916154870405546
9_1,9,826,,,,3.3383546870634806,3.375916687915803,3.2705591233157527,3.4208229019071954,3.4833826349819264,3.4857081954895386,3.5551962302790465,3.5457427430218726,3.497907281188539,3.6738027391497363,3.707903500756468,3.650982798381562,3.5771583338344106,3.730313995312084,3.6751638163385714,3.5717863343513794,3.5107287040238213,Correct,3.3383546870634806
9_2,9,826,3.1152091574062144,2.9008461495780185,2.9108502542187837,,3.2024977010085696,3.151662602754122,3.1731838810887214,2.772572357238022,2.8837946266255616,2.9310480197726934,3.0024325346403455,2.9559536815163265,3.0304318387716758,3.197112694182078,3.2116362454307787,3.0331027536087336,3.1464259577519673,3.445675304377666,3.7027057946304214,3.600331134687747,Correct,3.0080276534921166
9_3,9,826,3.4260887353852003,3.280736569823089,3.1299982118121723,,3.329917457440828,3.179542334763832,3.220140872972613,3.146563716719017,3.128114107848399,3.1469891481842582,2.9843756260622456,3.0726410971253992,3.2827907783475876,3.2249905608911202,3.2306693859443243,3.076843586483014,3.1257147021947507,3.093592003586388,3.026004592664811,3.094599750278824,Correct,3.3534126526041446
11_1,11,826,3.877879191695872,3.6724475062467348,3.750429493576429,,3.814741207721753,3.581943804428522,3.411881500222558,3.5926513132065705,3.737598878409712,3.4882830227810726,3.1677386042458004,3.4850700960951944,3.5778639066708844,3.4034828133503687,3.6831939603248465,3.8787399165488923,4.0143808443899305,3.818695914443265,3.798766573214624,3.917127065729382,Correct,3.7751633489713035
11_2,11,826,4.131364581436087,4.263558468430726,4.26228269362564,,4.598735333142379,4.717960161124881,4.691983191610813,4.033827098449981,4.136093781014856,4.1075716245467815,3.740741329402118,3.712236123310975,3.566125508559544,3.8076250102098648,3.837824609337044,3.745803753302515,3.9350077871173896,4.132288652414911,4.22698536984915,4.964366115103777,Correct,4.197461524933407
